,INDUSTRY,MKT CAP,DIV YIELD,CHG PERCENT,VOL,SECTOR,STOCKS
109,Real Estate Investment Trusts ,1127.54B,—,−0.74%,1.583M,Finance,220
110,Recreational Products ,170.649B,—,0.07%,2.477M,Consumer Durables,28
111,Regional Banks ,611.685B,—,−0.37%,1.834M,Finance,284
112,Restaurants ,411.338B,—,0.64%,2.443M,Consumer Services,47
113,Savings Banks ,31.345B,—,−1.21%,671.045K,Finance,57
114,Semiconductors ,1584.056B,—,0.55%,49.063M,Electronic Technology,72
115,Services to the Health Industry ,74.718B,—,−1.79%,966.572K,Health Services,10
116,Specialty Insurance ,52.998B,—,0.19%,907.499K,Finance,15
117,Specialty Stores ,431.394B,—,−0.12%,1.486M,Retail Trade,56
118,Specialty Telecommunications ,58.302B,—,−0.51%,2.766M,Communications,22
119,Steel ,137.909B,—,−0.08%,16.185M,Non-Energy Minerals,28
120,Telecommunications Equipment ,1825.077B,—,−0.38%,41.831M,Electronic Technology,51
121,Textiles ,1.947B,—,−0.70%,147.313K,Process Industries,3
122,Tobacco ,279.68B,—,0.26%,4.701M,Consumer Non-Durables,7
123,Tools & Hardware ,31.295B,—,0.17%,1.188M,Consumer Durables,3
124,Trucking ,87.412B,—,−0.39%,726.333K,Transportation,23
125,Trucks/Construction/Farm Machinery ,251.127B,—,−0.30%,1.384M,Producer Manufacturing,36
126,Water Utilities ,66.954B,—,−0.06%,554.045K,Utilities,15
127,Wholesale Distributors ,117.195B,—,−0.14%,1.114M,Distribution Services,49
128,Wireless Telecommunications ,415.69B,—,−0.36%,2.698M,Communications,24
