Insurance Brokers/Services ,191.45B,—,0.27%,1.049M,Finance,16
Integrated Oil ,877.387B,—,1.17%,7.606M,Energy Minerals,33
Internet Retail ,2372.063B,—,1.55%,9.648M,Retail Trade,25
Internet Software/Services ,3322.472B,—,1.06%,8.523M,Technology Services,104
Investment Banks/Brokers ,458.581B,—,−0.14%,3.261M,Finance,46
Investment Managers ,487.421B,—,0.30%,1.417M,Finance,124
Investment Trusts/Mutual Funds ,176.054B,—,0.30%,2.827M,Miscellaneous,2839
Life/Health Insurance ,158.279B,—,1.16%,2.457M,Finance,26
Major Banks ,1745.259B,—,1.10%,15.478M,Finance,65
Major Telecommunications ,626.706B,—,0.63%,18.843M,Communications,19
Managed Health Care ,523.855B,—,0.18%,1.65M,Health Services,8
Marine Shipping ,18.814B,—,−2.92%,1.447M,Transportation,51
Medical Distributors ,78.209B,—,0.92%,1.193M,Distribution Services,9
Medical Specialties ,1519.913B,—,0.93%,1.812M,Health Technology,198
Medical/Nursing Services ,101.464B,—,0.80%,559.341K,Health Services,44
Metal Fabrication ,17.705B,—,1.23%,231.732K,Producer Manufacturing,24
Miscellaneous ,991.731M,—,−2.27%,15.706M,Miscellaneous,11
Miscellaneous Commercial Services ,351.355B,—,0.08%,1.12M,Commercial Services,136
Miscellaneous Manufacturing ,31.619B,—,0.11%,532.857K,Producer Manufacturing,15
Motor Vehicles ,588.713B,—,3.72%,14.978M,Consumer Durables,16
Movies/Entertainment ,297.758B,—,−0.47%,7.64M,Consumer Services,37
Multi-Line Insurance ,1061.66B,—,0.31%,2.425M,Finance,30
Office Equipment/Supplies ,30.981B,—,0.97%,3.12M,Producer Manufacturing,9
Oil & Gas Pipelines ,407.498B,—,0.68%,3.173M,Industrial Services,38
Oil & Gas Production ,282.323B,—,2.94%,5.576M,Energy Minerals,90
Oil Refining/Marketing ,101.962B,—,−0.49%,3.315M,Energy Minerals,14
Oilfield Services/Equipment ,80.934B,—,1.33%,7.027M,Industrial Services,45
Other Consumer Services ,297.917B,—,1.50%,2.421M,Consumer Services,53
Other Consumer Specialties ,7.112B,—,0.93%,923.975K,Consumer Durables,10
Other Metals/Minerals ,256.338B,—,0.81%,3.072M,Non-Energy Minerals,41
Other Transportation ,12.144B,—,−0.00%,122.536K,Transportation,11
Packaged Software ,3335.687B,—,0.80%,16.004M,Technology Services,153
Personnel Services ,25.053B,—,0.13%,541.214K,Commercial Services,26
Pharmaceuticals: Generic ,102.154B,—,0.19%,2.854M,Health Technology,13
Pharmaceuticals: Major ,2084.854B,—,0.56%,7.609M,Health Technology,172
Pharmaceuticals: Other ,116.008B,—,−0.50%,1.028M,Health Technology,74
Precious Metals ,265.665B,—,−1.24%,6.12M,Non-Energy Minerals,53
Property/Casualty Insurance ,235.146B,—,−0.49%,1.496M,Finance,48
Publishing: Books/Magazines ,11.394B,—,−0.99%,259.535K,Consumer Services,6
Publishing: Newspapers ,22.16B,—,−0.86%,941.179K,Consumer Services,8
Pulp & Paper ,14.743B,—,−0.08%,200.01K,Process Industries,10
Railroads ,323.655B,—,1.01%,1.509M,Transportation,7
Real Estate Development ,71.582B,—,1.64%,1.899M,Finance,49
Real Estate Investment Trusts ,1152.063B,—,−0.50%,1.747M,Finance,220
Recreational Products ,164.871B,—,−0.31%,2.699M,Consumer Durables,28
Regional Banks ,585.179B,—,0.10%,2.048M,Finance,284
Restaurants ,388.065B,—,−0.41%,2.986M,Consumer Services,47
Savings Banks ,31.377B,—,−0.39%,640.784K,Finance,58
Semiconductors ,1493.285B,—,1.36%,8.935M,Electronic Technology,71
Services to the Health Industry ,67.375B,—,0.89%,820.421K,Health Services,10
Specialty Insurance ,48.683B,—,−0.33%,1.351M,Finance,15
Specialty Stores ,405.609B,—,0.34%,1.592M,Retail Trade,56
Specialty Telecommunications ,57.733B,—,−0.29%,2.671M,Communications,22
Steel ,130.32B,—,1.72%,8.476M,Non-Energy Minerals,28
Telecommunications Equipment ,1792.687B,—,0.18%,26.17M,Electronic Technology,51
Textiles ,2.091B,—,0.17%,181.341K,Process Industries,3
Tobacco ,276.368B,—,0.50%,2.884M,Consumer Non-Durables,7
Tools & Hardware ,28.706B,—,1.74%,857.299K,Consumer Durables,3
Trucking ,81.309B,—,0.98%,608.346K,Transportation,23
Trucks/Construction/Farm Machinery ,230.986B,—,1.26%,1.453M,Producer Manufacturing,37
Water Utilities ,62.611B,—,−0.03%,530.883K,Utilities,15
Wholesale Distributors ,110.201B,—,1.29%,1.564M,Distribution Services,49
Wireless Telecommunications ,421.275B,—,1.55%,3.073M,Communications,24
